;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
1;1977;414.4;14.2;96.8;83;8.384.873;5.512.291;1.817.441;3.780.403;9.563.148;0.0745524;Alabama;no
2;1978;419.1;13.3;99.1;94;8.352.101;5.514.367;1.799.408;3.831.838;9932;0.0755667;Alabama;no
3;1979;413.3;13.2;109.5;144;8.329.575;5.513.586;1.783.934;3.866.248;9.877.028;0.0762453;Alabama;no
4;1980;448.5;13.2;132.1;141;8.408.386;5.491.259;177.342;3.900.368;9.541.428;0.0768288;Alabama;no
5;1981;470.5;11.9;126.5;149;8.483.435;5.492.513;1.767.372;3.918.531;9.548.351;0.0771866;Alabama;no
6;1982;447.7;10.6;112;183;8.514;5.489.621;1.751.052;3.925.229;9.478.919;0.0773185;Alabama;no
7;1983;416;9.2;98.4;215;8.545.608;5.483.936;1.735.089;3.934.103;9783;0.0774933;Alabama;no
8;1984;431.2;9.4;96.1;243;8.559.511;5.477.876;1.711.902;3.951.826;10357.2;0.0778424;Alabama;no
9;1985;457.5;9.8;105.4;256;8.562.801;5.467.899;1.685.875;397.252;10725.86;0.07825;Alabama;no
10;1986;558;10.1;111.6;267;8.566.521;5.451.791;1.657.609;3.991.562;11091.62;0.0786251;Alabama;no
11;1987;559.2;9.3;112.2;283;8.592.103;543.877;162.823;4.015.257;11323.82;0.0790919;Alabama;no
12;1988;558.6;9.9;117.8;307;8.618.144;5.423.505;159.927;4.023.848;11654.96;0.0792611;Alabama;no
13;1989;590.8;10.2;133.9;300;8.638.031;5.406.622;1.567.523;4.030.224;11963.9;0.0793867;Alabama;no
14;1990;708.6;11.6;143.7;328;8.699.674;5.607.016;153.807;4.048.508;12063.98;0.0797736;Alabama;no
15;1991;844.2;11.5;152.8;370;8.771.641;5.597.353;1.518.314;4.091.025;12087.82;0.0806113;Alabama;no
16;1992;871.7;11;164.9;394;8.877.969;5.580.952;1.502.558;4.139.269;12398.02;0.081562;Alabama;no
17;1993;780.4;11.6;159.5;407;8.972.758;5.566.076;1.486.296;4.193.114;12395.8;0.0826229;Alabama;no
18;1994;683.7;11.9;171.2;431;9.047.583;5.550.783;1.467.744;4.232.965;12673.92;0.0834082;Alabama;no
